#
# Akira, är det anime och japan?
# Vad menar jag med (*)? Jag hade skrivit * framfär positionen tidigare.
#
#kategori:§animerat
#kategori:§astrid
#kategori:§beck
#kategori:§bond
#kategori:§dokumentar
#kategori:§eget
#kategori:§fantasy
#kategori:§fel
#kategori:§halloween
#kategori:§japan
#kategori:§jul
#kategori:§krig
#kategori:§melbrooks
#kategori:§nintendods
#kategori:§ps3
#kategori:§sf
#kategori:§stallone
#kategori:§stephenking
#kategori:§sverige
#kategori:§wallander
#kategori:§western
#kategori:§xbox
#kategori:§zoombie
#
#format:*xvid
#format:*vcd
#format:*scr
#format:*dvd
#
#location: 
#
#language:#spoken/subtitle (en, se, ???)
#
#destinaton:&ms (mediaserver)
#
Göta Kanal 3	    		§wanted
Nikita				§wanted
Starship Troopers II		§wanted
C129	Matte söker husse	*dvd
C130	Slapshot	*xvid, #en/se
C130	Swordfish	*xvid
C131	Happiness (1-34)
C132	Happiness (35-47)
C133	Village, The
C134	Natasha Kampuch	*dvd, §dokumentar
C135	Stolthet och fördom (1/2)	*dvd
C136	Stolthet och fördom (2/2)	*dvd
C137	Formel 1 Brasilien 2008 (1/2)	*dvd
C138	Formel 1 Brasilien 2008 (2/2)	*dvd
C139	Robin Hood - Prince of thieves (1/2)	*dvd
C140	Robin Hood - Prince of thieves (1/2)	*dvd
C141	De tre musketörerna
C142	Transamerica
C143	Åter till Cold Mountain (1/2)	*dvd
C144	Åter till Cold Mountain (2/2)	*dvd
C145	Miffo	§sverige
C146	Se upp för dårarna	*dvd, §sverige
C147
C148
C149	Maria Wern - Främmande fågel (1/4)	§sverige
C150	Maria Wern - Främmande fågel (2/4)	§sverige
C151	Maria Wern - Främmande fågel (3/4)	§sverige
C152	Maria Wern - Främmande fågel (4/4)	§sverige
C153	Sommaren med Monika	*dvd, §sverige
C154	Sommaren med Monika	*dvd, §sverige
C155	Mamma Mia	*xvid, scr
C156	The Doors	se (subtitle 4)
C157	Christer Fuglesang i rymden	*dvd, §sverige
C157	ELVIS	*dvd, §sverige
C158	Sexmissbrukare	*dvd
C158	Dagar i ett anorektiskt liv	*dvd
C159	Madagaskar		*dvd, §animerat
C160	Wallander - luftslottet		*dvd, §wallander
C161	Elizabethtown	*dvd
C162	Tristan och Isolde	*dvd
C163	Resident Evil	*xvid, se, §zoombie, &ms
C163	Resident Evil 2 - Apocalypse	*xvid, se, §zoombie, &ms
C164	Human Trafficking
C165	Bad Santa	se, §jul
*C166	Celebrate Christmas with Mickey, Donald and friends	se, §jul, §animerat
*C167	National Lampoons Christmas vacation	se st#4, §jul
C168	Hunden som log		§sverige
C169	Santa Clause, The	se, §jul
C170	Santa Clause 2, The	se, §jul
C171	Santa Clause 3, The	se, §jul
C172	Akira	vcd, en
C173	Rosa The Movie	*xvid
C173	Tomtens verkstad i Kina		§dokumentar, se, *xvid
C173	Den perfekta rumpan	§dokumentar, se, *xvid
C174	Wallander - Blodsband	*dvd, §wallander
C175	Black Christmas	(1974)	se, §jul
C176	Jeff Dunham's very special Christmas Special (2008)	se, §jul
C177	Home Alone (1990)	se, §jul, (*)
C178	Home Alone 2 - Lost in New York (1992)	se, §jul?, (*)
C179	Home Alone 3 (1997)	se, §jul?, (*)
C180	Family Stone, The (2005)	se, §jul
C181	This Christmas (2007)	se, §jul
